GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MTAS,mtas.parser.cql,Token,14,20,0,0,5,7,4,3,4,3
MTAS,mtas.parser.cql,MtasCQLParser,3889,5003,478,656,552,1030,416,418,35,188
MTAS,mtas.parser.cql,MtasCQLParser.JJCalls,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.parser.cql,MtasCQLParserConstants,164,0,0,0,1,0,1,0,1,0
MTAS,mtas.parser.cql,MtasCQLParser.LookaheadSuccess,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.parser.cql,ParseException,360,0,33,0,65,0,26,0,6,0
MTAS,mtas.parser.cql,MtasCQLParserTokenManager,1098,1467,199,175,277,290,158,126,10,27
MTAS,mtas.parser.cql,SimpleCharStream,797,269,46,14,136,61,54,15,26,12
MTAS,mtas.solr.handler.component.util,MtasSolrComponentList,2593,10,178,0,372,4,94,2,5,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentStats,1706,1668,129,93,200,282,89,40,5,13
MTAS,mtas.solr.handler.component.util,MtasSolrComponentFacet,2489,10,118,0,306,4,67,2,8,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentGroup,1780,10,84,0,220,4,48,2,6,2
MTAS,mtas.solr.handler.component.util,MtasSolrResultMerge,300,575,65,75,75,144,50,30,2,8
MTAS,mtas.solr.handler.component.util,MtasSolrJoinResult,34,0,0,0,10,0,3,0,3,0
MTAS,mtas.solr.handler.component.util,MtasSolrResultUtil,455,530,51,65,77,122,40,33,3,12
MTAS,mtas.solr.handler.component.util,MtasSolrMtasResult,488,372,55,39,86,81,42,14,2,7
MTAS,mtas.solr.handler.component.util,MtasSolrComponentDocument,1016,7,66,0,154,3,38,2,5,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentPrefix,494,10,62,0,107,4,37,2,6,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentTermvector,1323,2824,131,243,148,527,110,90,0,13
MTAS,mtas.solr.handler.component.util,MtasSolrComponentJoin,254,7,32,0,61,3,22,2,6,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentKwic,1574,3,108,0,260,2,60,1,6,1
MTAS,mtas.solr.schema,MtasPreAnalyzedField,13,126,1,1,2,31,1,3,0,3
MTAS,mtas.solr.schema,MtasPreAnalyzedParser,38,141,7,13,9,36,8,6,1,3
MTAS,mtas.search.spans,MtasSpanIntersectingQuery,151,175,29,25,30,35,27,8,3,5
MTAS,mtas.search.spans,MtasSpanFollowedBySpans,154,224,34,38,41,58,29,21,5,9
MTAS,mtas.search.spans,MtasSpanSequenceQuery.MtasSpanSequenceQuerySpans,5,15,1,1,0,4,1,1,0,1
MTAS,mtas.search.spans,MtasSpanPrecededByQuery,141,163,26,24,29,30,25,8,3,5
MTAS,mtas.search.spans,MtasSpanEndSpans,45,42,12,4,7,9,13,6,5,6
MTAS,mtas.search.spans,MtasSpanPrecededByQuery.MtasSpanPrecededByQuerySpans,5,12,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanSequenceQuery,196,371,36,56,40,73,33,24,5,6
MTAS,mtas.search.spans,MtasSpanContainingQuery,42,150,20,22,10,30,20,8,2,5
MTAS,mtas.search.spans,MtasSpanFollowedByQuery.MtasSpanFollowedByQuerySpans,5,12,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanSequenceQuery.SpanSequenceWeight,51,114,11,11,14,29,9,6,1,3
MTAS,mtas.search.spans,MtasSpanSequenceSpans.QueueItem,0,174,2,20,0,41,2,13,0,4
MTAS,mtas.search.spans,MtasSpanSequenceQuery.MtasSpanSequenceQueryWeight,0,9,0,0,0,4,0,1,0,1
MTAS,mtas.search.spans,MtasSpanPrecededBySpans,154,241,34,38,41,63,29,21,5,9
MTAS,mtas.search.spans,MtasSpanStartSpans,47,42,13,5,7,8,14,6,5,6
MTAS,mtas.search.spans,MtasSpanIntersectingSpans,95,275,26,46,24,72,27,23,4,10
MTAS,mtas.search.spans,MtasSpanRecurrenceQuery,185,242,35,29,31,57,32,13,5,8
MTAS,mtas.search.spans,MtasSpanWildcardQuery,303,0,30,0,49,0,23,0,8,0
MTAS,mtas.search.spans,MtasSpanPrefixQuery,128,157,14,14,18,29,17,5,4,4
MTAS,mtas.search.spans,MtasSpanFullyAlignedWithQuery.MtasSpanFullyAlignedWithQuerySpans,17,0,2,0,3,0,2,0,1,0
MTAS,mtas.search.spans,MtasSpanSequenceSpans.Match,46,40,5,5,8,11,7,4,2,4
MTAS,mtas.search.spans,MtasSpanNotQuery,30,107,12,14,8,20,13,7,2,5
MTAS,mtas.search.spans,MtasSpanFollowedByQuery.SpanFollowedByWeight,24,55,1,1,7,12,3,2,2,2
MTAS,mtas.search.spans,MtasSpanSequenceSpans,379,1274,103,225,78,269,79,105,4,16
MTAS,mtas.search.spans,MtasSpanEndQuery,54,77,4,8,11,19,5,8,2,5
MTAS,mtas.search.spans,MtasSpanWithinQuery,504,291,75,31,96,52,50,11,1,7
MTAS,mtas.search.spans,MtasSpanFullyAlignedWithQuery.MtasSpanFullyAlignedWithQueryWeight,6,0,0,0,3,0,1,0,1,0
MTAS,mtas.search.spans,MtasSpanRegexpQuery,134,171,12,18,20,30,15,8,4,4
MTAS,mtas.search.spans,MtasSpanFullyAlignedWithSpans,405,0,76,0,106,0,52,0,14,0
MTAS,mtas.search.spans,MtasSpanStartQuery,54,76,4,8,10,19,5,8,2,5
MTAS,mtas.search.spans,MtasSpanRecurrenceSpans,138,408,29,55,33,94,26,34,4,14
MTAS,mtas.search.spans,MtasSpanPositionSpans,80,143,8,8,20,37,10,9,5,6
MTAS,mtas.search.spans,MtasSpanFollowedByQuery.MtasSpanFollowedByQueryWeight,0,6,0,0,0,3,0,1,0,1
MTAS,mtas.search.spans,MtasSpanOrQuery,138,269,30,34,35,52,23,16,1,6
MTAS,mtas.search.spans,MtasSpanIntersectingQuery.MtasSpanIntersectingQueryWeight,0,6,0,0,0,3,0,1,0,1
MTAS,mtas.search.spans,MtasSpanMatchAllQuery.SpanAllWeight,45,92,3,7,13,21,5,5,3,2
MTAS,mtas.search.spans,MtasSpanPositionQuery,45,101,6,8,5,22,6,9,1,7
MTAS,mtas.search.spans,MtasSpanStartQuery.SpanTermWeight,10,21,0,0,4,5,2,2,2,2
MTAS,mtas.search.spans,MtasSpanMatchNoneQuery,59,36,8,4,12,11,7,6,2,5
MTAS,mtas.search.spans,MtasSpanFullyAlignedWithQuery.SpanFullyAlignedWithWeight,79,0,2,0,19,0,5,0,4,0
MTAS,mtas.search.spans,MtasSpanPositionQuery.SpanAllWeight,30,84,2,6,9,17,5,4,3,2
MTAS,mtas.search.spans,MtasSpanPrecededByQuery.MtasSpanPrecededByQueryWeight,0,6,0,0,0,3,0,1,0,1
MTAS,mtas.search.spans,MtasSpanEndQuery.SpanTermWeight,10,21,0,0,4,6,2,2,2,2
MTAS,mtas.search.spans,MtasSpanFullyAlignedWithQuery,330,69,68,12,63,13,45,3,5,3
MTAS,mtas.search.spans,MtasSpanIntersectingQuery.MtasSpanIntersectingQuerySpans,5,12,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanPrecededByQuery.SpanPrecededByWeight,24,55,1,1,7,12,3,2,2,2
MTAS,mtas.search.spans,MtasSpanSequenceItem,458,130,81,21,86,32,47,13,2,7
MTAS,mtas.search.spans,MtasSpanFollowedByQuery,141,163,26,24,29,30,25,8,3,5
MTAS,mtas.search.spans,MtasSpanMatchAllQuery,22,66,1,5,4,17,2,9,1,7
MTAS,mtas.search.spans,MtasSpanRecurrenceQuery.SpanRecurrenceWeight,17,61,4,4,6,17,5,3,1,3
MTAS,mtas.search.spans,MtasSpanTermQuery,20,63,1,9,6,14,4,10,3,6
MTAS,mtas.search.spans,MtasSpanRecurrenceSpans.Match,29,40,5,5,7,11,6,4,1,4
MTAS,mtas.search.spans,MtasSpanMatchNoneSpans,31,24,0,0,12,9,9,2,9,2
MTAS,mtas.search.spans,MtasSpanMatchNoneQuery.SpanNoneWeight,13,64,0,6,5,15,3,5,3,2
MTAS,mtas.search.spans,MtasSpanIntersectingQuery.SpanIntersectingWeight,24,55,1,1,7,12,3,2,2,2
MTAS,mtas.search.spans,MtasSpanMatchAllSpans,20,157,1,7,8,43,4,11,3,8
MTAS,mtas.search.spans,MtasSpanAndQuery,106,236,25,27,24,50,20,13,1,6
MTAS,mtas.search.spans,MtasStartSpans,89,0,18,0,15,0,20,0,11,0
MTAS,mtas.codec.tree,IntervalTreeNode,0,28,1,1,0,10,1,2,0,2
MTAS,mtas.codec.tree,MtasTreeNode,0,34,1,1,0,10,1,2,0,2
MTAS,mtas.codec.tree,MtasTree,118,251,14,26,14,52,14,16,2,8
MTAS,mtas.codec.tree,MtasAVLTreeNode,8,0,0,0,3,0,1,0,1,0
MTAS,mtas.codec.tree,IntervalRBTreeNode,0,11,0,0,0,4,0,1,0,1
MTAS,mtas.codec.tree,MtasAVLTree,525,0,52,0,100,0,39,0,13,0
MTAS,mtas.codec.tree,MtasRBTree,72,451,24,46,6,76,21,27,1,12
MTAS,mtas.codec.tree,IntervalTree,137,15,5,1,16,6,7,3,4,3
MTAS,mtas.codec.tree,IntervalTreeNodeData,38,20,0,0,3,7,1,1,1,1
MTAS,mtas.codec.tree,MtasTreeNodeId,70,19,12,0,13,6,8,2,2,2
MTAS,mtas.codec.tree,MtasRBTreeNode,0,11,0,0,0,4,0,1,0,1
MTAS,mtas.codec.tree,IntervalRBTree,167,389,32,42,24,69,28,23,3,11
MTAS,mtas.parser.cql.util,MtasCQLParserWordFullCondition,154,181,14,22,26,43,13,11,2,4
MTAS,mtas.parser.cql.util,MtasCQLParserGroupFullCondition,55,117,7,17,10,30,10,12,3,7
MTAS,mtas.parser.cql.util,MtasCQLParserBasicSentenceCondition,199,329,31,43,42,94,28,23,3,11
MTAS,mtas.parser.cql.util,MtasCQLParserGroupQuery,104,167,14,11,11,28,14,9,2,7
MTAS,mtas.parser.cql.util,MtasCQLParserWordCondition,518,467,80,74,91,106,59,41,5,18
MTAS,mtas.parser.cql.util,MtasCQLParserWordPositionQuery,19,92,3,3,5,19,5,6,2,6
MTAS,mtas.parser.cql.util,MtasCQLParserDefaultPrefixCondition,5,17,1,1,1,4,1,1,0,1
MTAS,mtas.parser.cql.util,MtasCQLParserWordQuery,270,107,25,5,36,20,17,7,3,6
MTAS,mtas.parser.cql.util,MtasCQLParserSentenceCondition,480,625,70,76,76,151,51,40,4,14
MTAS,mtas.parser.cql.util,MtasCQLParserSentencePartCondition,49,246,9,21,9,60,9,13,1,6
MTAS,mtas.parser.cql.util,MtasCQLParserGroupCondition,29,35,4,4,6,8,6,3,2,3
MTAS,mtas.parser.cql.util,MtasCQLParserBasicSentencePartCondition,145,38,11,5,17,12,9,7,2,6
MTAS,mtas.codec.util.collector,MtasDataFull,615,115,58,4,107,25,39,7,9,6
MTAS,mtas.codec.util.collector,MtasDataItemFull,313,281,80,36,45,50,59,19,3,3
MTAS,mtas.codec.util.collector,MtasDataDoubleAdvanced,550,0,72,0,88,0,53,0,17,0
MTAS,mtas.codec.util.collector,MtasDataItemLongFull,839,19,152,0,111,3,95,2,7,2
MTAS,mtas.codec.util.collector,MtasDataCollectorResult.new Comparator() {...},0,28,0,2,0,3,0,3,0,2
MTAS,mtas.codec.util.collector,MtasDataItemLongAdvanced,248,80,60,8,27,12,46,4,4,3
MTAS,mtas.codec.util.collector,MtasDataItemBasic,137,124,23,15,23,22,18,9,2,4
MTAS,mtas.codec.util.collector,MtasDataDoubleOperations,156,0,34,0,39,0,34,0,17,0
MTAS,mtas.codec.util.collector,MtasDataItemLongBasic,119,74,28,8,19,11,22,4,4,3
MTAS,mtas.codec.util.collector,MtasDataLongAdvanced,227,319,34,38,37,51,32,21,7,10
MTAS,mtas.codec.util.collector,MtasDataItemDoubleBasic,178,0,32,0,29,0,23,0,7,0
MTAS,mtas.codec.util.collector,MtasDataItemAdvanced,443,172,80,22,73,33,56,12,2,4
MTAS,mtas.codec.util.collector,MtasDataLongFull,445,76,69,3,79,8,50,3,14,3
MTAS,mtas.codec.util.collector,MtasDataCollectorResult,120,287,16,40,11,66,17,20,1,8
MTAS,mtas.codec.util.collector,MtasDataBasic,277,538,35,27,46,103,24,23,4,12
MTAS,mtas.codec.util.collector,MtasDataItemNumberComparator,239,88,42,8,36,17,28,7,4,6
MTAS,mtas.codec.util.collector,MtasDataLongOperations,69,85,22,12,21,18,23,11,6,11
MTAS,mtas.codec.util.collector,MtasDataAdvanced,364,1057,28,40,51,188,24,26,4,12
MTAS,mtas.codec.util.collector,MtasDataItemDoubleAdvanced,278,0,63,0,34,0,45,0,7,0
MTAS,mtas.codec.util.collector,MtasDataDoubleFull,527,0,72,0,88,0,53,0,17,0
MTAS,mtas.codec.util.collector,MtasDataLongBasic,274,306,39,37,48,51,34,21,7,10
MTAS,mtas.codec.util.collector,MtasDataItem,19,67,3,3,7,26,5,6,2,5
MTAS,mtas.codec.util.collector,MtasDataDoubleBasic,572,0,72,0,98,0,53,0,17,0
MTAS,mtas.codec.util.collector,MtasDataCollector,904,1782,99,191,127,388,83,95,4,29
MTAS,mtas.codec.util.collector,MtasDataItemDoubleFull,990,0,164,0,132,0,104,0,10,0
MTAS,mtas.analysis,MtasTokenizer,359,343,18,18,64,69,22,11,9,6
MTAS,mtas.solr.search,MtasSolrJoinQParserPlugin,8,4,0,0,1,2,1,2,1,2
MTAS,mtas.solr.search,MtasSolrJoinCache,647,37,76,4,109,12,50,2,10,2
MTAS,mtas.solr.search,MtasCQLQParser,174,133,27,13,27,33,19,3,0,2
MTAS,mtas.solr.search,MtasSolrJoinCacheItem,82,0,16,0,17,0,11,0,3,0
MTAS,mtas.solr.search,MtasJoinQParser,65,0,12,0,15,0,8,0,2,0
MTAS,mtas.solr.search,MtasSolrCQLQParserPlugin,0,12,0,0,0,3,0,3,0,3
MTAS,mtas.solr.handler,MtasRequestHandler,451,9,60,0,89,3,33,3,3,3
MTAS,mtas.solr.handler.component,MtasSolrSearchComponent,593,1033,102,160,104,209,82,61,1,11
